movie_id;actor_id
0;0
0;1
0;2
1;3
1;1
1;2
2;4
2;5
2;6
3;7
3;5
3;8
4;9
4;5
4;10
5;11
5;12
5;13
6;14
6;12
6;15
7;16
7;17
7;18
8;19
8;20
8;21
9;22
9;20
9;23
10;24
10;25
10;26
11;27
11;28
11;29
12;30
12;28
12;31
13;30
13;28
13;31
14;30
14;28
14;31
15;32
15;33
15;34
16;35
16;36
16;37
17;38
17;39
17;40
18;41
18;42
18;43
19;44
19;45
19;46
20;47
20;48
20;49
21;50
21;48
21;51
22;52
22;53
22;54
23;55
23;53
23;56
24;57
24;53
24;58
25;59
25;60
25;61
26;62
26;63
26;64
27;65
27;66
27;67
28;68
28;69
28;70
29;71
29;72
29;73
30;74
30;72
30;26
31;75
31;72
31;26
32;76
32;72
32;26
33;77
33;72
34;78
34;79
34;26
35;78
35;79
35;26
36;78
36;79
36;26
37;80
37;79
37;26
38;41
38;81
38;82
39;83
39;84
39;85
40;7
40;84
40;86
41;87
41;88
42;89
42;90
42;91
43;92
43;90
43;91
44;76
44;90
44;93
45;71
45;90
45;40
46;94
46;90
46;95
47;96
47;90
47;97
48;98
48;90
49;22
49;99
50;100
50;101
51;35
51;101
51;102
52;103
52;101
52;104
53;105
53;106
53;107
54;108
54;109
54;110
55;111
55;112
55;113
56;50
56;112
56;114
57;22
57;115
57;116
58;117
58;118
58;119
59;120
59;121
60;122
60;123
60;124
61;125
61;126
62;127
62;128
62;21
63;55
63;128
63;129
64;130
64;128
64;131
65;132
65;128
65;133
66;134
66;128
66;135
67;136
67;137
67;138
68;120
68;139
68;140
69;141
69;142
69;143
70;144
70;145
70;146
71;147
71;145
72;7
72;148
72;149
73;150
73;151
73;40
74;152
74;153
74;154
75;155
75;153
75;156
76;41
76;153
76;157
77;11
77;158
77;159
78;160
78;161
78;162
79;58
79;163
80;164
80;165
80;166
81;167
81;168
81;169
82;35
82;170
82;171
83;35
83;170
83;172
84;173
84;174
84;175
85;176
85;177
85;178
86;179
86;180
86;181
87;182
87;183
87;184
88;185
88;186
88;187
89;188
89;186
89;189
90;190
90;186
90;191
91;192
91;186
91;191
92;193
92;186
92;194
93;7
93;186
93;195
94;196
94;186
94;197
95;198
95;186
95;199
96;200
96;186
96;201
97;202
97;186
97;203
98;204
98;186
98;205
99;206
99;186
99;207
100;208
100;186
100;209
101;210
101;186
101;209
102;188
102;186
102;209
103;211
103;212
103;213
104;214
104;215
104;40
105;216
105;217
105;218
106;219
106;220
106;51
107;211
107;221
107;222
108;44
108;221
108;223
109;224
109;221
109;225
110;226
110;221
110;91
111;227
111;221
112;9
112;221
112;228
113;7
113;221
113;229
114;230
114;221
114;113
115;231
115;221
115;232
116;9
116;221
116;233
117;234
117;221
117;235
118;236
118;237
118;238
119;239
119;240
119;26
120;241
120;242
120;243
121;244
121;242
122;245
122;246
122;247
123;59
123;246
124;248
124;249
124;250
125;50
125;251
125;252
126;41
126;253
126;254
127;71
127;255
127;256
128;257
128;258
128;259
129;260
129;261
130;262
130;263
130;264
131;265
131;266
131;124
132;267
132;266
132;124
133;268
133;269
133;270
134;271
134;272
135;273
135;274
135;102
136;7
136;274
136;129
137;224
137;274
137;275
138;276
138;274
138;277
139;278
139;279
139;184
140;280
140;281
141;282
141;281
141;26
142;283
142;281
142;284
143;285
143;281
143;286
144;75
144;281
144;287
145;288
145;281
145;289
146;290
146;281
146;291
147;292
147;281
147;293
148;294
148;281
148;40
149;285
149;281
149;40
150;295
150;281
150;296
151;202
151;281
151;297
152;298
152;281
152;297
153;299
153;281
153;300
154;301
154;281
154;302
155;303
155;281
155;302
156;304
156;281
156;302
157;280
157;281
157;305
158;306
158;281
158;305
159;307
159;281
159;308
160;309
160;281
160;310
161;311
161;281
161;310
162;312
162;281
162;310
163;313
163;281
163;310
164;136
164;281
164;314
165;315
165;281
166;316
166;281
167;317
167;318
167;319
168;52
168;318
168;129
169;65
169;318
169;320
170;321
170;322
170;323
171;262
171;324
171;133
172;325
172;324
173;326
173;327
173;328
174;92
174;329
174;330
175;331
175;332
175;333
176;71
176;334
176;82
177;335
177;334
177;336
178;337
178;334
178;116
179;338
179;339
179;26
180;340
180;341
180;342
181;343
181;341
181;58
182;224
182;341
182;344
183;345
183;341
183;346
184;7
184;347
184;348
185;349
185;350
185;351
186;352
186;353
186;354
187;41
187;355
187;356
188;357
